"id_experiment","id_parameter","nr_algorithm_iteration","nr_function_iteration","nr_task","vl_total_execution_time","vl_inter_task_execution_time","vl_intra_task_execution_time_full_func","vl_intra_task_execution_time_device_func","vl_communication_time_1","vl_communication_time_2","vl_additional_time_1","vl_additional_time_2","dt_processing"
"5788","64","15","0","399",NULL,NULL,"0.0663454325008205","0.02185152053833","0.0258233309723436","0.0186705809901468","0","0","2023-12-17 19:29:50.490207"
"5789","64","15","0","625",NULL,NULL,"0.0770682917051016","0.0216843528747558","0.0336847128346562","0.0216992259956896","0","0","2023-12-17 19:29:49.865237"
"5790","64","15","0","704",NULL,NULL,"0.0723474488561041","0.0216202888488769","0.0305373379960656","0.0201898220111615","0","0","2023-12-17 19:29:49.866146"
"5791","64","15","0","752",NULL,NULL,"0.0661268558418378","0.0213360958099365","0.0261058810283429","0.0186848790035583","0","0","2023-12-17 19:29:50.189921"
"5792","64","15","0","640",NULL,NULL,"0.0762080286354757","0.0212985916137695","0.0351636260165832","0.0197458110051229","0","0","2023-12-17 19:29:49.874509"
"5793","64","15","0","688",NULL,NULL,"0.0768325955662876","0.0215616645812988","0.0351563619915396","0.0201145689934492","0","0","2023-12-17 19:29:49.875126"
"5794","64","15","0","111",NULL,NULL,"0.0768725628503597","0.0216367359161376","0.0351384049863554","0.0200974219478666","0","0","2023-12-17 19:29:49.874861"
"5795","64","15","0","594",NULL,NULL,"0.0849684792160987","0.0218174400329589","0.0436905305832624","0.0194605085998773","0","0","2023-12-17 19:29:49.880887"
"9456","61","7","0",NULL,NULL,"98.9531226370018",NULL,NULL,NULL,NULL,NULL,NULL,"2023-12-18 14:01:58.926218"
"5796","64","15","0","516",NULL,NULL,"0.0852753254771232","0.021496992111206","0.0437274407595396","0.0200508926063776","0","0","2023-12-17 19:29:49.872817"
"5797","64","15","0","63",NULL,NULL,"0.0733948507159947","0.0217441272735595","0.0317270830273628","0.0199236404150724","0","0","2023-12-17 19:29:49.867749"
"5798","64","15","0","383",NULL,NULL,"0.0745009458265266","0.0216699848175048","0.0335319029982201","0.0192990580108016","0","0","2023-12-17 19:29:49.869636"
"5799","64","15","0","768",NULL,NULL,"0.0722114171087741","0.0212147521972656","0.0309659726917743","0.0200306922197341","0","0","2023-12-17 19:29:50.139014"
"5800","64","15","0","175",NULL,NULL,"0.0701830851137637","0.0219426879882812","0.0278297252953052","0.0204106718301773","0","0","2023-12-17 19:29:50.358552"
"5801","64","15","0","530",NULL,NULL,"0.0683471443057059","0.0216265277862548","0.0277537158690392","0.0189669006504118","0","0","2023-12-17 19:29:50.139585"
"5802","64","15","0","720",NULL,NULL,"0.0665319562386721","0.0216403522491455","0.026155240018852","0.0187363639706745","0","0","2023-12-17 19:29:50.141633"
"5803","64","15","0","335",NULL,NULL,"0.0669054944003","0.0213478393554687","0.0266102390014566","0.0189474160433746","0","0","2023-12-17 19:29:50.389102"
"5804","64","15","0","191",NULL,NULL,"0.0740069638639688","0.0215384311676025","0.032044917345047","0.0204236153513193","0","0","2023-12-17 19:29:50.139311"
"5805","64","15","0","366",NULL,NULL,"0.0721433610576204","0.0213618240356445","0.0313112619915045","0.0194702750304713","0","0","2023-12-17 19:29:49.866483"
"5806","64","15","0","800",NULL,NULL,"0.0674807830303906","0.0218754234313964","0.0258940998464822","0.0197112597525119","0","0","2023-12-17 19:29:50.259695"
"5807","64","15","0","672",NULL,NULL,"0.0718164320844225","0.0213056640625","0.030518761021085","0.0199920070008374","0","0","2023-12-17 19:29:51.824049"
"5808","64","15","0","784",NULL,NULL,"0.0749537240713834","0.0216518402099609","0.0319747254252433","0.0213271584361791","0","0","2023-12-17 19:29:51.831792"
"5809","64","15","0","563",NULL,NULL,"0.082039321526885","0.0213256969451904","0.0407291855663061","0.0199844390153884","0","0","2023-12-17 19:29:51.844252"
"5810","64","15","0","610",NULL,NULL,"0.0666980570293962","0.0216670398712158","0.0263325478881597","0.0186984692700207","0","0","2023-12-17 19:29:52.21861"
"5811","64","15","0","578",NULL,NULL,"0.0824719212800264","0.0214082870483398","0.0407962501049041","0.0202673841267824","0","0","2023-12-17 19:29:51.847053"
"5812","64","15","0","816",NULL,NULL,"0.0727093436596914","0.0213490886688232","0.031194629962556","0.0201656250283122","0","0","2023-12-17 19:29:53.381186"
"5813","64","15","0","547",NULL,NULL,"0.0723390145935117","0.0217927684783935","0.0310089429840445","0.0195373031310737","0","0","2023-12-17 19:29:53.388408"
"5814","64","15","0","705",NULL,NULL,"0.0725329426149837","0.0214373435974121","0.0312295050243847","0.0198660939931869","0","0","2023-12-17 19:29:53.390542"
"5815","64","15","0","753",NULL,NULL,"0.075444187760353","0.0215950717926025","0.0333056999952532","0.0205434159724973","0","0","2023-12-17 19:29:53.400735"
"5816","64","15","0","595",NULL,NULL,"0.0732072363495826","0.0218248958587646","0.0320379789918661","0.0193443614989519","0","0","2023-12-17 19:29:53.393802"
"5817","64","15","0","944",NULL,NULL,"0.0757471066862344","0.0219009914398193","0.0324239432811737","0.0214221719652414","0","0","2023-12-17 19:29:53.410969"
"5818","64","15","0","689",NULL,NULL,"0.0704639930627308","0.0213744640350341","0.0294227510457858","0.0196667779819108","0","0","2023-12-17 19:29:53.521379"
"5819","64","15","0","721",NULL,NULL,"0.0762205056170932","0.0217353916168212","0.0337241779780015","0.0207609360222704","0","0","2023-12-17 19:29:53.405261"
"5820","64","15","0","517",NULL,NULL,"0.0674082757234573","0.0215610237121582","0.0266147572547197","0.0192324947565794","0","0","2023-12-17 19:29:53.551396"
"5821","64","15","0","626",NULL,NULL,"0.0672240933887659","0.0216806392669677","0.0264260950498282","0.0191173590719699","0","0","2023-12-17 19:29:53.703036"
"5822","64","15","0","641",NULL,NULL,"0.0666452979086897","0.0216350078582763","0.0261980860377661","0.0188122040126472","0","0","2023-12-17 19:29:53.871681"
"5823","64","15","0","673",NULL,NULL,"0.0662396342791616","0.0212638072967529","0.0263971730018965","0.0185786539805121","0","0","2023-12-17 19:29:53.667692"
"5824","64","15","0","596",NULL,NULL,"0.072622069582343","0.0218559684753417","0.0314153097569942","0.019350791350007","0","0","2023-12-17 19:29:56.061252"
"5825","64","15","0","367",NULL,NULL,"0.076924505373463","0.0214310073852539","0.0337374989758245","0.0217559990123845","0","0","2023-12-17 19:29:56.061258"
"5826","64","15","0","579",NULL,NULL,"0.0847224663048982","0.0214294395446777","0.0428216364234685","0.0204713903367519","0","0","2023-12-17 19:29:56.072068"
"5827","64","15","0","564",NULL,NULL,"0.083845210045576","0.0212343044281005","0.0428089965134859","0.0198019091039896","0","0","2023-12-17 19:29:56.069451"
"5828","64","15","0","706",NULL,NULL,"0.0716521444739773","0.0212210884094238","0.0307205520221032","0.0197105040424503","0","0","2023-12-17 19:29:59.546071"
"5829","64","15","0","754",NULL,NULL,"0.0715672871340065","0.0216480960845947","0.0302976150414906","0.0196215760079212","0","0","2023-12-17 19:29:59.553502"
"5830","64","15","0","848",NULL,NULL,"0.0738842842085286","0.0216471042633056","0.0321214409777894","0.0201157389674335","0","0","2023-12-17 19:29:59.557673"
"5831","64","15","0","832",NULL,NULL,"0.072852434999775","0.0218662719726562","0.0312112960382364","0.0197748669888824","0","0","2023-12-17 19:29:59.575153"
"5832","64","15","0","518",NULL,NULL,"0.078590667784214","0.0215588798522949","0.0369410812854766","0.0200907066464424","0","0","2023-12-17 19:29:59.558754"
"5833","64","15","0","611",NULL,NULL,"0.0726487499028444","0.0217823677062988","0.0311092869378626","0.0197570952586829","0","0","2023-12-17 19:29:59.559163"
"5834","64","15","0","627",NULL,NULL,"0.081864574626088","0.0216258239746093","0.0401318427175283","0.0201069079339504","0","0","2023-12-17 19:29:59.582473"
"5835","64","15","0","657",NULL,NULL,"0.0760326359272002","0.0220474872589111","0.0340670440346002","0.0199181046336889","0","0","2023-12-17 19:29:59.560345"
"5836","64","15","0","976",NULL,NULL,"0.0729272137135266","0.0216583995819091","0.0309674125164747","0.0203014016151428","0","0","2023-12-17 19:29:59.564726"
"5837","64","15","0","769",NULL,NULL,"0.0724981937557458","0.0213720321655273","0.031211320310831","0.0199148412793874","0","0","2023-12-17 19:29:59.564986"
"5838","64","15","0","928",NULL,NULL,"0.0715706757544539","0.021609504699707","0.0304207500303164","0.0195404210244305","0","0","2023-12-17 19:29:59.566655"
"5839","64","15","0","737",NULL,NULL,"0.0743016811702399","0.0215675201416015","0.0331077930168248","0.0196263680118136","0","0","2023-12-17 19:29:59.567986"
"5840","64","15","0","880",NULL,NULL,"0.0724724234179593","0.0218474884033203","0.0308470739983022","0.0197778610163368","0","0","2023-12-17 19:29:59.576111"
"5841","64","15","0","414",NULL,NULL,"0.0731212844182737","0.0217904644012451","0.0316876849974505","0.019643135019578","0","0","2023-12-17 19:29:59.557667"
"5842","64","15","0","896",NULL,NULL,"0.0842901485115288","0.0216386241912841","0.0429215244948864","0.0197299998253583","0","0","2023-12-17 19:29:59.581163"
"5843","64","15","0","945",NULL,NULL,"0.1039160550534724","0.0451131858825683","0.0392526648938655","0.0195502042770385","0","0","2023-12-17 19:29:59.602296"
"5844","64","15","0","817",NULL,NULL,"0.0736944399196654","0.0213448638916015","0.0323711669771","0.0199784090509638","0","0","2023-12-17 19:29:59.568326"
"5845","64","15","0","690",NULL,NULL,"0.066692168180365","0.021261791229248","0.0267430699896067","0.0186873069615103","0","0","2023-12-17 19:29:59.856297"
"5846","64","15","0","531",NULL,NULL,"0.0813360548540949","0.0215365447998046","0.0401003048755228","0.0196992051787674","0","0","2023-12-17 19:29:59.590399"
"5847","64","15","0","864",NULL,NULL,"0.0742624413222073","0.0214467525482177","0.0328938830643892","0.0199218057096004","0","0","2023-12-17 19:29:59.565777"
"5848","64","15","0","801",NULL,NULL,"0.1034457206726073","0.0443841934204101","0.0392234846949577","0.0198380425572395","0","0","2023-12-17 19:29:59.60972"
"5849","64","15","0","960",NULL,NULL,"0.0701227737544103","0.0213402557373046","0.0293371850275434","0.0194453329895623","0","0","2023-12-17 19:29:59.576604"
"5850","64","15","0","642",NULL,NULL,"0.0692747557349502","0.0217053127288818","0.0280187259777449","0.0195507170283235","0","0","2023-12-17 19:29:59.603557"
"5851","64","15","0","785",NULL,NULL,"0.0848694983422755","0.0217432956695556","0.0429952275007963","0.0201309751719236","0","0","2023-12-17 19:29:59.572487"
"5852","64","15","0","912",NULL,NULL,"0.0752173041971399","0.0216283512115478","0.0338521379744634","0.0197368150111287","0","0","2023-12-17 19:29:59.580652"
"5853","64","15","0","548",NULL,NULL,"0.0684912625364959","0.0217969284057617","0.0280095590278506","0.0186847751028835","0","0","2023-12-17 19:30:01.005661"
"5854","64","15","0","722",NULL,NULL,"0.0746077630259096","0.0218706550598144","0.0318399670068174","0.0208971409592777","0","0","2023-12-17 19:30:00.928454"
"5855","64","15","0","674",NULL,NULL,"0.0714418535809963","0.0211610565185546","0.0311932580079883","0.0190875390544533","0","0","2023-12-17 19:30:03.03276"
"5856","64","15","0","597",NULL,NULL,"0.0727422029972076","0.0218263359069824","0.0309945065528154","0.0199213605374097","0","0","2023-12-17 19:30:03.049488"
"9457","61","7","0",NULL,NULL,"93.01729059399804",NULL,NULL,NULL,NULL,NULL,NULL,"2023-12-18 14:03:31.94395"
"5857","64","15","0","565",NULL,NULL,"0.0811781575679778","0.0212260475158691","0.0400200560688972","0.0199320539832115","0","0","2023-12-17 19:30:03.054073"
"5858","64","15","0","580",NULL,NULL,"0.0816393383592367","0.0213967990875244","0.0401414316147565","0.0201011076569557","0","0","2023-12-17 19:30:03.056605"
"5859","64","15","0","992",NULL,NULL,"0.0736498253280296","0.021373119354248","0.0317496029892936","0.020527102984488","0","0","2023-12-17 19:30:03.352188"
"5860","64","15","0","865",NULL,NULL,"0.0727537690103053","0.0214506244659423","0.0306772645562887","0.0206258799880743","0","0","2023-12-17 19:30:03.45473"
"5861","64","15","0","897",NULL,NULL,"0.0656497930139302","0.0216935672760009","0.0261542350053787","0.0178019907325506","0","0","2023-12-17 19:30:03.716457"
"5862","64","15","0","977",NULL,NULL,"0.0718724900931119","0.0211901111602783","0.0306042581796646","0.020078120753169","0","0","2023-12-17 19:30:03.493206"
"5863","64","15","0","707",NULL,NULL,"0.0661979779922403","0.0215932159423828","0.025849896017462","0.0187548660323955","0","0","2023-12-17 19:30:03.494139"
"5864","64","15","0","658",NULL,NULL,"0.0711159492731093","0.0217549438476562","0.0294567625969648","0.0199042428284883","0","0","2023-12-17 19:30:04.510693"
"5865","64","15","0","755",NULL,NULL,"0.0715218556262552","0.0213841285705566","0.0303850070340558","0.0197527200216427","0","0","2023-12-17 19:30:05.38461"
